715 Broadway Departure,Broadway & Broome St.,80 Lafayette,"Metrotech Roadway
Drop Off Only","Metro Tech Way
(Drop Off Only)","6 MetroTech
Arrival",6 MetroTech Departure,Cleveland & Spring St.,715 Broadway Arrival
10:00 AM,10:04 AM,10:10 AM,10:19 AM,D/O,10:22 AM,10:40 AM,10:54 AM,11:00 AM
10:40 AM,10:44 AM,10:50 AM,10:59 AM,D/O,11:02 AM,11:20 AM,11:34 AM,11:40 AM
11:20 AM,11:24 AM,11:30 AM,11:39 AM,D/O,11:42 AM,12:00 PM,12:14 PM,12:20 PM
12:00 PM,12:04 PM,12:10 PM,12:19 PM,D/O,12:22 PM,12:40 PM,12:54 PM,1:00 PM
12:40 PM,12:44 PM,12:50 PM,12:59 PM,D/O,1:02 PM,1:20 PM,1:34 PM,1:40 PM
1:20 PM,1:24 PM,1:30 PM,1:39 PM,D/O,1:42 PM,2:00 PM,2:14 PM,2:20 PM
2:00 PM,2:04 PM,2:10 PM,2:19 PM,D/O,2:22 PM,2:40 PM,2:54 PM,3:00 PM
2:40 PM,2:44 PM,2:50 PM,2:59 PM,D/O,3:02 PM,3:20 PM,3:34 PM,3:40 PM
3:20 PM,3:24 PM,3:30 PM,3:39 PM,D/O,3:42 PM,4:00 PM,4:14 PM,4:20 PM
4:00 PM,4:04 PM,4:10 PM,4:19 PM,D/O,4:22 PM,4:40 PM,4:54 PM,5:00 PM
4:40 PM,4:44 PM,4:50 PM,4:59 PM,D/O,5:02 PM,5:20 PM,5:34 PM,5:40 PM
5:20 PM,5:24 PM,5:30 PM,5:39 PM,D/O,5:42 PM,6:00 PM,6:14 PM,6:20 PM
6:00 PM,6:04 PM,6:10 PM,6:19 PM,D/O,6:22 PM,6:40 PM,6:54 PM,7:00 PM
6:40 PM,6:44 PM,6:50 PM,6:59 PM,D/O,7:02 PM,7:20 PM,7:34 PM,7:40 PM
