715 Broadway Departure ,Broadway & Broome St. ,80 Lafayette ,Cleveland Pl & Spring St. ,Lafayette & E 4th St. ,Greenwich Hall ,715 Broadway Arrival
-                      ,-                     ,7:35 AM      ,7:47 AM                   ,7:50 AM               ,-              ,7:52 AM
-                      ,-                     ,8:10 AM      ,8:22 AM                   ,8:25 AM               ,-              ,8:27 AM
-                      ,-                     ,8:40 AM      ,8:52 AM                   ,8:55 AM               ,-              ,8:57 AM
-                      ,-                     ,9:10 AM      ,9:22 AM                   ,9:25 AM               ,-              ,9:27 AM
-                      ,-                     ,9:40 AM      ,9:52 AM                   ,9:55 AM               ,-              ,9:57 AM
10:10 AM               ,10:14 AM              ,10:20 AM     ,10:32 AM                  ,10:35 AM              ,-              ,10:37 AM
10:50 AM               ,10:54 AM              ,11:00 AM     ,11:12 AM                  ,11:15 AM              ,-              ,11:17 AM
11:30 AM               ,11:34 AM              ,11:40 AM     ,11:52 AM                  ,11:55 AM              ,-              ,11:57 AM
12:10 PM               ,12:14 PM              ,12:20 PM     ,12:32 PM                  ,12:35 PM              ,-              ,12:37 PM
12:50 PM               ,12:54 PM              ,1:00 PM      ,1:12 PM                   ,1:15 PM               ,-              ,1:17 PM
2:10 PM                ,2:14 PM               ,2:20 PM      ,2:32 PM                   ,2:35 PM               ,-              ,2:37 PM
2:50 PM                ,2:54 PM               ,3:00 PM      ,3:12 PM                   ,3:15 PM               ,-              ,3:17 PM
4:10 PM                ,4:14 PM               ,4:20 PM      ,4:32 PM                   ,4:35 PM               ,-              ,4:37 PM
4:50 PM                ,4:54 PM               ,5:00 PM      ,5:12 PM                   ,5:15 PM               ,-              ,5:17 PM
5:30 PM                ,5:34 PM               ,5:40 PM      ,5:52 PM                   ,5:55 PM               ,-              ,5:57 PM
6:10 PM                ,6:14 PM               ,6:20 PM      ,6:32 PM                   ,6:35 PM               ,-              ,6:37 PM
6:50 PM                ,6:54 PM               ,7:00 PM      ,7:12 PM                   ,7:15 PM               ,-              ,7:17 PM
7:30 PM                ,7:34 PM               ,7:40 PM      ,7:52 PM                   ,7:55 PM               ,-              ,7:57 PM
8:10 PM                ,8:14 PM               ,8:20 PM      ,8:32 PM                   ,8:35 PM               ,-              ,8:37 PM
8:50 PM                ,8:54 PM               ,9:00 PM      ,                          ,                      ,9:10 PM        ,9:20 PM
9:30 PM                ,9:34 PM               ,9:40 PM      ,9:52 PM                   ,9:55 PM               ,-              ,9:57 PM
10:10 PM               ,10:14 PM              ,10:20 PM     ,10:32 PM                  ,10:35 PM              ,-              ,10:37 PM
10:40 PM               ,10:44 PM              ,10:40 PM     ,-                         ,-                     ,11:00 PM       ,11:10 PM
11:20 PM               ,11:24 PM              ,11:30 PM     ,                          ,                      ,               ,
