"Campus Shuttle Service will be suspended for Winter Break from Saturday, December 21, 2024, to Monday, January 20, 2025. Service will resume on Tuesday, January 21.",,,,,,,,,,,,
Schedule in Effect: Academic Year 2024-2025 (in effect 9/3/24),,,,,,,,,,,,
715 Broadway Departure,3rd Ave. at 11th St. (NB),3rd Ave. at 14th St.,3rd Ave. at 17th St.,Opposite Gramercy Green,3rd Ave. at 30th St.,Lexington Ave. at 31st St.,Gramercy Green,3rd Ave. at 17th St.,3rd Ave. at 13th St.,3rd Ave. at 11th St. (SB),715 Broadway Arrival,*Internal Use Only
-,-,-,-,-,-,-,7:30 AM,7:32 AM,7:34 AM,7:35 AM,7:40 AM,
-,-,-,-,-,-,-,8:00 AM,8:02 AM,8:04 AM,8:05 AM,8:10 AM,
-,-,-,-,-,-,-,8:12 AM,8:14 AM,8:16 AM,8:17 AM,8:22 AM,
-,-,-,-,-,-,-,8:32 AM,8:34 AM,8:36 AM,8:37 AM,8:42 AM,
-,-,-,-,-,-,-,8:52 AM,8:54 AM,8:56 AM,8:57 AM,9:02 AM,
-,-,-,-,-,-,-,9:04 AM,9:06 AM,9:08 AM,9:09 AM,9:14 AM,
-,-,-,-,-,-,-,9:10 AM,9:12 AM,9:14 AM,9:15 AM,9:20 AM,
-,-,-,-,-,-,-,9:34 AM,9:36 AM,9:38 AM,9:39 AM,9:44 AM,
-,-,-,-,-,-,-,9:50 AM,9:52 AM,9:54 AM,9:55 AM,10:00 AM,
-,-,-,-,-,-,-,10:03 AM,10:05 AM,10:07 AM,10:08 AM,10:13 AM,
-,-,-,-,-,-,-,10:30 AM,10:32 AM,10:34 AM,10:35 AM,10:40 AM,
10:50 AM,10:53 AM,10:56 AM,10:57 AM,11:01 AM,11:04 AM,11:07 AM,11:13 AM,11:15 AM,11:17 AM,11:19 AM,11:24 AM,
11:55 AM,11:58 AM,12:01 PM,12:02 PM,12:06 PM,12:09 PM,12:12 PM,12:18 PM,12:20 PM,12:22 PM,12:24 PM,12:29 PM,
12:40 PM,12:43 PM,12:46 PM,12:47 PM,12:51 PM,12:54 PM,12:57 PM,1:03 PM,1:05 PM,1:07 PM,1:09 PM,1:14 PM,
1:30 PM,1:33 PM,1:36 PM,1:37 PM,1:41 PM,1:44 PM,1:47 PM,1:53 PM,1:55 PM,1:57 PM,1:59 PM,2:04 PM,
2:30 PM,2:33 PM,2:36 PM,2:37 PM,2:41 PM,2:44 PM,2:47 PM,2:53 PM,2:55 PM,2:57 PM,2:59 PM,3:04 PM,
3:30 PM,3:33 PM,3:36 PM,3:37 PM,3:41 PM,3:44 PM,3:47 PM,3:53 PM,3:55 PM,3:57 PM,3:59 PM,4:04 PM,
3:50 PM,3:53 PM,3:56 PM,3:57 PM,4:01 PM,4:04 PM,4:07 PM,4:13 PM,4:15 PM,4:17 PM,4:19 PM,4:24 PM,
4:20 PM,4:23 PM,4:26 PM,4:27 PM,4:31 PM,4:34 PM,4:37 PM,4:43 PM,4:45 PM,4:47 PM,4:49 PM,4:54 PM,
4:50 PM,4:53 PM,4:56 PM,4:57 PM,5:01 PM,5:04 PM,5:07 PM,5:13 PM,5:15 PM,5:17 PM,5:19 PM,5:24 PM,
5:15 PM,5:18 PM,5:21 PM,5:22 PM,5:26 PM,5:29 PM,5:32 PM,5:38 PM,5:40 PM,5:42 PM,5:44 PM,5:49 PM,
5:45 PM,5:48 PM,5:51 PM,5:52 PM,5:56 PM,5:59 PM,6:02 PM,6:08 PM,6:10 PM,6:12 PM,6:14 PM,6:19 PM,
6:30 PM,6:33 PM,6:36 PM,6:37 PM,6:41 PM,6:44 PM,6:47 PM,6:53 PM,6:55 PM,6:57 PM,6:59 PM,7:04 PM,
7:20 PM,7:23 PM,7:26 PM,7:27 PM,7:31 PM,7:34 PM,7:37 PM,7:43 PM,7:45 PM,7:47 PM,7:49 PM,7:54 PM,
8:10 PM,8:13 PM,8:16 PM,8:17 PM,8:21 PM,8:24 PM,8:27 PM,8:33 PM,8:35 PM,8:37 PM,8:39 PM,8:44 PM,
9:10 PM,9:13 PM,9:16 PM,9:17 PM,9:21 PM,9:24 PM,9:27 PM,9:33 PM,9:35 PM,9:37 PM,9:39 PM,9:44 PM,
