715 Broadway Departure ,80 Lafayette St. ,Morton & Greenwich ,715 Broadway Arrival
-                      ,-                ,7:30 AM            ,7:45 AM
-                      ,-                ,8:00 AM            ,8:15 AM
-                      ,-                ,8:30 AM            ,8:45 AM
-                      ,-                ,9:00 AM            ,9:15 AM
10:15 AM               ,-                ,10:30 AM           ,10:45 AM
11:00 AM               ,-                ,11:15 AM           ,11:30 AM
11:45 AM               ,-                ,12:00 PM           ,12:15 PM
12:30 PM               ,-                ,12:45 PM           ,1:00 PM
1:15 PM                ,-                ,1:30 PM            ,1:45 PM
2:40 PM                ,-                ,2:55 PM            ,3:10 PM
4:10 PM                ,-                ,4:25 PM            ,4:40 PM
6:55 PM                ,-                ,7:10 PM            ,7:25 PM
