715 Broadway Departure,Broadway & Broome St.,80 Lafayette,Cleveland Pl & Spring St.,Lafayette & E 4th St.,14th St. at Irving Place (EB),14th St. at 3rd Ave.,1St. Ave. at 17th St..,1St. Ave. at 24th St.,1St. Ave. at 26th St.,NYU Langone Health,Lexington Ave. at 31 St.,Gramercy Green,3rd Ave. at 17th St.,14th St. at Irving Place (WB),715 Broadway Arrival
-,-,-,-,-,-,-,-,10:00 AM,10:01 AM,10:05 AM,10:10 AM,10:15 AM,10:17 AM,10:19 AM,10:24 AM
10:30 AM,10:34 AM,10:40 AM,10:46 AM,10:49 AM,10:54 AM,10:56 AM,11:00 AM,11:03 AM,11:04 AM,11:08 AM,11:13 AM,11:18 AM,11:20 AM,11:22 AM,11:27 AM
11:45 AM,11:49 AM,11:55 AM,12:01 PM,12:04 PM,12:09 PM,12:11 PM,12:15 PM,12:18 PM,12:19 PM,12:23 PM,12:28 PM,12:33 PM,12:35 PM,12:37 PM,12:42 PM
1:00 PM,1:04 PM,1:10 PM,1:16 PM,1:19 PM,1:24 PM,1:26 PM,1:30 PM,1:33 PM,1:34 PM,1:38 PM,1:43 PM,1:48 PM,1:50 PM,1:52 PM,-
2:30 PM,2:34 PM,2:40 PM,2:46 PM,2:49 PM,2:54 PM,2:56 PM,3:00 PM,3:03 PM,3:04 PM,3:08 PM,3:13 PM,3:18 PM,3:20 PM,3:22 PM,3:27 PM
3:15 PM,3:19 PM,3:25 PM,3:31 PM,3:34 PM,3:39 PM,3:41 PM,3:45 PM,3:48 PM,3:49 PM,3:53 PM,3:58 PM,4:03 PM,4:05 PM,4:07 PM,-
3:45 PM,3:49 PM,3:55 PM,4:01 PM,4:04 PM,4:09 PM,4:11 PM,4:15 PM,4:18 PM,4:19 PM,4:23 PM,4:28 PM,4:33 PM,4:35 PM,4:37 PM,4:42 PM
5:00 PM,5:04 PM,5:10 PM,5:16 PM,5:19 PM,5:24 PM,5:26 PM,5:30 PM,5:33 PM,5:34 PM,5:38 PM,5:43 PM,5:48 PM,5:50 PM,5:52 PM,5:57 PM
5:30 PM,5:34 PM,5:40 PM,5:46 PM,5:49 PM,5:54 PM,5:56 PM,6:00 PM,6:03 PM,6:04 PM,6:08 PM,6:13 PM,6:18 PM,6:20 PM,6:22 PM,-
6:15 PM,6:19 PM,6:25 PM,6:31 PM,6:34 PM,6:39 PM,6:41 PM,6:45 PM,6:48 PM,6:49 PM,6:53 PM,6:58 PM,7:03 PM,7:05 PM,7:07 PM,7:12 PM
7:00 PM,7:04 PM,7:10 PM,7:16 PM,7:19 PM,7:24 PM,7:26 PM,7:30 PM,7:33 PM,7:34 PM,7:38 PM,7:43 PM,7:48 PM,7:50 PM,7:52 PM,7:57 PM
7:30 PM,7:34 PM,7:40 PM,7:46 PM,7:49 PM,7:54 PM,7:56 PM,8:00 PM,8:03 PM,8:04 PM,8:08 PM,8:13 PM,8:18 PM,8:20 PM,8:22 PM,-
8:30 PM,8:34 PM,8:40 PM,8:46 PM,8:49 PM,8:54 PM,8:56 PM,9:00 PM,9:03 PM,9:04 PM,9:08 PM,9:13 PM,9:18 PM,9:20 PM,9:25 PM,9:30 PM
9:45 PM,9:49 PM,9:55 PM,10:01 PM,10:04 PM,10:09 PM,10:11 PM,10:15 PM,10:18 PM,10:19 PM,10:24 PM,10:29 PM,10:34 PM,10:36 PM,10:38 PM,10:43 PM
11:00 PM,11:04 PM,11:10 PM,11:16 PM,11:19 PM,11:24 PM,11:26 PM,11:30 PM,11:33 PM,11:34 PM,11:38 PM,11:43 PM,11:48 PM,-,-,-
